,Time,SAP Flux,SAP Error
0,1354.1115072617192,0.99984264,0.0005428482
1,1354.1128961919705,1.0006068,0.00054284063
2,1354.1142851224547,0.99966145,0.0005428495
3,1354.117062983188,0.9997162,0.00054281496
4,1354.1184519134392,1.0001388,0.00054296746
5,1354.1198408439234,0.9994658,0.0005427442
6,1354.1212297741743,0.99980354,0.0005428097
7,1354.1226187044247,1.000062,0.00054306875
8,1354.1240076349084,0.9996107,0.0005428535
9,1354.1253965651597,1.0002526,0.0005429306
10,1354.1267854956438,0.9993636,0.00054296147
11,1354.1281744258938,1.0001518,0.0005429957
12,1354.1295633561442,0.99994403,0.0005432158
13,1354.1309522863955,1.0003327,0.0005431009
14,1354.1323412168797,0.99957454,0.00054288306
15,1354.1337301471306,1.0001798,0.00054306636
16,1354.1351190773805,1.0004557,0.00054292317
17,1354.1365080078647,1.0007375,0.0005431834
18,1354.137896938116,1.0006303,0.0005430957
19,1354.1392858683673,0.9999074,0.0005431007
20,1354.1406747986182,0.99912286,0.00054264517
21,1354.1420637288682,1.0013295,0.00054307934
22,1354.1434526593523,1.0001442,0.00054296065
23,1354.1448415896036,1.000338,0.0005431522
24,1354.1462305198536,1.0007768,0.00054295454
25,1354.147619450104,1.0003015,0.0005429098
26,1354.1490083803553,1.0004218,0.00054269785
27,1354.1503973106066,1.0008726,0.00054315914
28,1354.151786240858,0.9999133,0.0005432798
29,1354.153175171108,1.0001767,0.0005427255
30,1354.1545641013588,0.99981195,0.0005430292
31,1354.1559530316101,0.9999548,0.00054265873
32,1354.1573419618614,1.0000213,0.0005427307
33,1354.1587308921119,1.0007445,0.00054296595
34,1354.1601198223618,1.0002947,0.00054293266
35,1354.1615087526131,1.0010396,0.0005430905
36,1354.1628976828645,1.00031,0.00054311653
37,1354.1642866131153,1.0007538,0.0005430889
38,1354.1656755433658,0.9998865,0.0005428235
39,1354.1670644736166,0.999592,0.0005427409
40,1354.168453403868,1.0001798,0.000542725
41,1354.1698423341193,1.0002949,0.0005428973
42,1354.1712312643692,1.0010133,0.00054303947
43,1354.17262019462,1.0001047,0.0005430537
44,1354.1740091246386,0.9997564,0.000542858
45,1354.17539805489,0.99981445,0.0005430006
46,1354.1767869851412,1.0000756,0.000542801
47,1354.1781759153912,1.0001428,0.00054266845
48,1354.1795648456416,0.99994713,0.00054298795
49,1354.18095377566,1.0011165,0.00054322934
50,1354.182342705911,1.0005201,0.0005431099
51,1354.1837316361623,1.0003282,0.00054280367
52,1354.1851205664127,1.000711,0.00054302637
53,1354.1865094964307,1.0005429,0.000542918
54,1354.187898426682,1.0013251,0.00054300093
55,1354.1892873569325,1.0004785,0.00054281164
56,1354.1906762869505,1.000589,0.00054297515
57,1354.192065217201,1.0001642,0.0005428453
58,1354.1934541474523,1.0013783,0.00054314215
59,1354.1948430774708,1.0001347,0.0005428598
60,1354.1962320077216,0.9996458,0.0005428676
61,1354.1976209377397,0.9999745,0.0005427825
62,1354.19900986799,1.0000062,0.0005428699
63,1354.200398798008,1.0004046,0.000543047
64,1354.2017877282594,0.999647,0.00054279406
65,1354.203176658277,0.99955964,0.000542796
66,1354.2045655885279,1.0009657,0.00054307486
67,1354.2059545185464,0.99970096,0.0005428016
68,1354.2073434487968,1.000485,0.00054284994
69,1354.2087323788153,0.9999987,0.00054291
70,1354.2101213090662,0.9997561,0.0005427542
71,1354.2115102390837,1.0008658,0.00054296997
72,1354.212899169335,1.0009302,0.0005430849
73,1354.214288099353,1.0007364,0.00054317235
74,1354.2156770293707,1.000418,0.0005431979
75,1354.2170659596216,1.0003954,0.00054300576
76,1354.2184548896391,0.99978256,0.00054346793
77,1354.2198438196576,1.0000575,0.0005429338
78,1354.221232749909,0.99959135,0.000542836
79,1354.222621679927,1.0003513,0.0005428911
80,1354.2240106099446,1.0012063,0.00054293143
81,1354.2253995401954,1.0005046,0.0005429816
82,1354.226788470214,1.0009842,0.0005430848
83,1354.2281774002317,1.0005012,0.000542924
84,1354.2295663302496,1.0000359,0.0005428483
